12;Да? А зачем?;
;Тебя создал один не очень хороший ученый. Он высадил таких, как ты, на разных планетах. И нас послали за ними. Чтобы мы решили эту проблему.;13
13;Да. Понимаю. Наверное, я проблема. Я помню, когда-то давно там, где я был, жили всякие маленькие и большие. *пытается что-то обрисовывать руками* Я их кушал. И они потом кончились. ;
;Кто ты такой?;2
;Почему ты хотел, чтобы мои люди тебя убили?;4
;Тебя не смущает то, где ты?;6
;Что за надписи были на стенах твоего логова?;8
;Ты знаешь, что есть другие — такие же, как ты?;10
;И что же мне с тобой делать?;14
14;А что со мной делать?;
;Нас послали, чтобы мы тебя убили. Но ты разумен. Это было бы очень неэтично.;15
15;А. Этично… неэтично… Кажется, я… понимаю. *снова обхватывает себя руками и покачивается*;
;Я могу отдать тебя тем, кто нас послал. Это практичные, но не злые существа. Наверное, они найдут, чем тебе помочь. Ты хочешь этого?;16
;Я могу оставить тебя здесь. На моем корабле. Хочешь этого?;19
16;О… А какие они?;
;Клиски? Они как ты, только поменьше. Вы очень похожи.;17
17;Странно. Что в голове чешется… *трет голову* Там, внутри. Но я был бы не против.;
;На том и порешим.;-1
;Есть и другой вариант.;18
18;Да?;
;Я могу отдать тебя тем, кто нас послал. Это практичные, но не злые существа. Наверное, они найдут, чем тебе помочь. Ты хочешь этого?;16
;Я могу оставить тебя здесь. На моем корабле. Хочешь этого?;19
19;О. Остаться тут? А… кто вы? И зачем?;
;Мы — люди, народ с планеты Земля. Исследуем космос, чтобы спасти нашу планету. Иногда, вот, помогаем другим народам. Я не знаю, чем ты мог бы нам помочь. Но наверняка чем-то смог бы.;20
20;Люди. Как интересно. *трет рукой нос* Наверное, да, смог бы помочь. Я… я знаю…;
;Конечно, смог бы. Оставайся. Найдем тебе местечко.;21
;Есть и другой вариант.;18
21;Да… Нет… Вы не поняли. *он снова утирает нос* Я знаю не то… другое… *монстр вздрагивает и совершенно внезапно, на одном выдохе, произносит* Шестичленные структуры позволяют синтезировать нуклеотиды, альтернативные рибо и дезоксирибонуклеотиды. Рибо и дезоксинуклеотиды, нуклеотиды, содержащие гексозные остатки, могут быть связаны друг с другом с образованием различных полинуклеотидных цепей. Вот... вот это...;
;Это что-то из химии? Что это такое?;22
22;*Монстр не отвечает. Раскачиваясь из стороны в сторону все сильнее и сильнее, в конце концов он расслабляется полностью и оседает на пол.*;
;Ах, черт… Гордон, вышли в трюм с нашим новым другом научную команду! И медиков, что ли…;-1
